status,issue,title,validator comment 1,validator comment 2,validator comment 3,root cause 1,root cause 2,root cause 3,merged root cause,primary finding,proposed root cause group,,,,,
Satisfactory,validation-37,The total supply of borrowAToken can go over the specified cap,total supply,borrowATokenCap multicall,Invalid validation entailed,"""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L37""",https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29,"""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L37""","""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L37""",findings-13,"""DUPE-Multicall-001,DUPE-Multicall-002""",,,,,
Satisfactory,validation-385,"The `validateBorrowATokenCap()` restriction in `deposit()` can be easily bypassed by wrapping it in a `multicall()` call, giving certain users an unfair advantage","QA, multicall",borrowATokenCap multicall,Invalid validation entailed,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/CapsLibrary.sol#L19-L44,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29,"""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L37""","""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29-L29,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L37,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/CapsLibrary.sol#L19-L44""",findings-13,"""DUPE-CapsLibrary-003,DUPE-Multicall-001,DUPE-Multicall-002""",,,,,
Satisfactory,validation-473,Incorrect logic to protect Size from large amount of loans,,borrowATokenCap multicall,Incorrect caps logic,,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/CapsLibrary.sol#L52-L59,"""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/CapsLibrary.sol#L52-L59,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29""",findings-13,"""DUPE-CapsLibrary-002,DUPE-Multicall-001""",DUPE-AccountingLibrary-002,DUPE-AccountingLibrary-002,DUPE-AccountingLibrary-002,DUPE-SellCreditMarket-001,
Satisfactory,validation-512,"Inside Multicall, wrong parameters passed into state.validateBorrowATokenIncreaseLteDebtTokenDecrease allows for unintended behaviour where total supply of borrowAtokens exceed borrowATokenCap despite not being for the purpose of decreasing debt",total supply,borrowATokenCap multicall,Invalid validation entailed,"""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L37""",https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29,"""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L37""","""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L37""",findings-13,"""DUPE-Multicall-001,DUPE-Multicall-002""",DUPE-AccountingLibrary-002,DUPE-AccountingLibrary-002,,,
Satisfactory,validation-542,The `borrowATokenCap` limitation can be bypassed by depositing `USDC` through `Size#multicall()`,total supply,borrowATokenCap multicall,Invalid validation entailed,"""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L37""",https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29,"""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L37""","""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L37""",findings-13,"""DUPE-Multicall-001,DUPE-Multicall-002""",DUPE-AccountingLibrary-002,DUPE-AccountingLibrary-002,DUPE-AccountingLibrary-002,DUPE-AccountingLibrary-002,
Satisfactory,validation-556,`borrowATokenCap` can be avoided by using the `Multicall` function,total supply,borrowATokenCap multicall,Invalid validation entailed,"""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L37""",https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29,"""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L37""","""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L37""",findings-13,"""DUPE-Multicall-001,DUPE-Multicall-002""",DUPE-BuyCreditMarket-001,DUPE-SellCreditMarket-003,,,
Satisfactory,validation-574,borrowATokenCap can be exceeded without adding value to the protocol.,"QA, multicall",borrowATokenCap multicall,Invalid validation entailed,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/CapsLibrary.sol#L19-L44,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29,"""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L37""","""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29-L29,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L37,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/CapsLibrary.sol#L19-L44""",findings-13,"""DUPE-CapsLibrary-003,DUPE-Multicall-001,DUPE-Multicall-002""",DUPE-BuyCreditMarket-002,DUPE-Size-004,,,
Satisfactory,validation-604,Anyone can bypass ```validateBorrowATokenCap``` check and deposit over the limit calling ```deposit()``` from multicall,"QA, multicall",borrowATokenCap multicall,Coded POC inadequate alleging the flaw,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/CapsLibrary.sol#L19-L44,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29,,"""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/CapsLibrary.sol#L19-L44""",findings-13,"""DUPE-CapsLibrary-003,DUPE-Multicall-001""",DUPE-CapsLibrary-002,DUPE-Multicall-001,,,
Satisfactory,validation-653,The `validateBorrowATokenIncreaseLteDebtTokenDecrease` is incorrect and can be easily bypassed,"QA, multicall",borrowATokenCap multicall,Invalid validation entailed,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/CapsLibrary.sol#L19-L44,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/CapsLibrary.sol#L27,"""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L37""","""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L37,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/CapsLibrary.sol#L19-L44""",findings-13,"""DUPE-CapsLibrary-003,DUPE-Multicall-001,DUPE-Multicall-002""",DUPE-Claim-001,DUPE-Size-005,,,
Satisfactory,validation-695,Multicall does not work as intended,total supply,multicall needs refactor,Intended design as it would be when not using the batch calling,"""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L37""","""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L37""",,"""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L37""",findings-13,"""DUPE-Multicall-001,DUPE-Multicall-002""",DUPE-Compensate-003,DUPE-Compensate-004,,,
Satisfactory,validation-701,Users Can Buypass Borrow Token Cap via Manipulation of Debt Token Supply,total supply,borrowATokenCap multicall,Invalid validation entailed,"""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L37""",https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29,"""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L37""","""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L37""",findings-13,"""DUPE-Multicall-001,DUPE-Multicall-002""",DUPE-Compensate-003,DUPE-Compensate-004,,,
Satisfactory,validation-87,Muticall deposits entirely bypass the borrowAToken cap,total supply,borrowATokenCap multicall,Invalid validation entailed,"""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L37""",https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29,"""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L37""","""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L37""",findings-13,"""DUPE-Multicall-001,DUPE-Multicall-002""",,,,,
Satisfactory,validation-152,Users can avoid paying fragmentation fees,no frag fee,fragmentation fee RESERVED_ID,Missing check for creditPositionWithDebtToRepay.credit > 0,"""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L136,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L146""","""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L136,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L146-L155""",https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L146,"""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L146-L155,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L136-L136""",findings-24,"""DUPE-Compensate-003,DUPE-Compensate-004""",DUPE-Compensate-002,DUPE-Compensate-003,,,
Satisfactory,validation-291,Fragmentation fee is not applied during compensate if minting new credit.,no frag fee,fragmentation fee RESERVED_ID,Missing check for creditPositionWithDebtToRepay.credit > 0,"""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L136,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L146""","""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L136,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L146-L155""",https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L146,"""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L146-L155,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L136-L136""",findings-24,"""DUPE-Compensate-003,DUPE-Compensate-004""",,,,,
Satisfactory,validation-304,Fragmentation Fee Application Leads to Unfair Charges and Potential Fee Avoidance,no frag fee,fragmentation fee RESERVED_ID,Missing check for creditPositionWithDebtToRepay.credit > 0,"""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L136,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L146""","""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L136,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L146-L155""",https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L146,"""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L146-L155,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L136-L136""",findings-24,"""DUPE-Compensate-002,DUPE-Compensate-003""",,,,,
Satisfactory,validation-318,fragmentationFee in compensate is not implemented correctly,no frag fee,fragmentation fee RESERVED_ID,Missing check for creditPositionWithDebtToRepay.credit > 0,"""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L136,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L146""","""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L136,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L146-L155""",https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L146,"""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L146-L155,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L136-L136""",findings-24,"""DUPE-Compensate-003,DUPE-Compensate-004""",,,,,
Satisfactory,validation-320,Users could abuse `compensate()` to fragment creditPositions without paying any fragementation fee,no frag fee,fragmentation fee RESERVED_ID,Missing check for creditPositionWithDebtToRepay.credit > 0,"""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L136,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L146""","""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L136,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L146-L155""",https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L146,"""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L146-L155,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L136-L136""",findings-24,"""DUPE-Compensate-003,DUPE-Compensate-004""",,,,,
Satisfactory,validation-340,Borrowers can fragmentate credit without paying the fragmentationFee when partially repaying a DebtPosition via Compensate,no frag fee,fragmentation fee RESERVED_ID,Missing check for creditPositionWithDebtToRepay.credit > 0,"""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L136,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L146""","""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L136,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L146-L155""",https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L146,"""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L146-L155,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L136-L136""",findings-24,"""DUPE-Compensate-003,DUPE-Compensate-004""",,,,,
Satisfactory,validation-377,Protocol fails to take fragmentation fee during credit fractionalization for every compensate call with params.creditPositionToCompensateId == RESERVED_ID.,no frag fee,fragmentation fee RESERVED_ID,Missing check for creditPositionWithDebtToRepay.credit > 0,"""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L136,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L146""","""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L136,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L146-L155""",https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L146,"""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L146-L155,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L136-L136""",findings-24,"""DUPE-Compensate-003,DUPE-Compensate-004""",,,,,
Satisfactory,validation-392,Fragmentation fee can be avoided during debt compensation,no frag fee,fragmentation fee RESERVED_ID,Missing check for creditPositionWithDebtToRepay.credit > 0,"""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L136,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L146""","""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L136,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L146-L155""",https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L146,"""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L146-L155,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L136-L136""",findings-24,"""DUPE-Compensate-003,DUPE-Compensate-004""",,,,,
Satisfactory,validation-406,Users can skip the fragmentation fee through the `compensate()` action,no frag fee,fragmentation fee RESERVED_ID,Missing check for creditPositionWithDebtToRepay.credit > 0,"""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L136,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L146""","""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L136,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L146-L155""",https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L146,"""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L146-L155,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L136-L136""",findings-24,"""DUPE-Compensate-003,DUPE-Compensate-004""",,,,,
Satisfactory,validation-456,Fragmentation Fee is not properly enforced on all credit splits during compensation,no frag fee,fragmentation fee RESERVED_ID,Missing check for creditPositionWithDebtToRepay.credit > 0,"""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L136,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L146""","""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L136,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L146-L155""",https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L146,"""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L146-L155,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L136-L136""",findings-24,"""DUPE-Compensate-003,DUPE-Compensate-004""",DUPE-AccountingLibrary-002,DUPE-AccountingLibrary-002,,,
