issue,title,validator comment,grade,root cause (URL),size
validation-298,Issues Arising from Liquidation Reward Misvaluation/Miscalculation,liquidatorreward,Satisfactory,https://github.com/code-423n4/2024-06-size/blob/8850e25fb088898e9cf86f9be1c401ad155bea86/src/libraries/actions/Liquidate.sol#L96-L99,182
validation-299,Insufficient validation of APR in `executeSellCreditMarket` permits manipulation resulting in miscalculated cash amounts and fees,,Unsatisfactory,,285
validation-300,Impact of Loan Repayment Front-Running on Protocol Fees and Incentives (Overdue charges are not deduct when an overdue loan is repaid),,Unsatisfactory,,91
validation-302,Excess Collateral Not Returned to Borrower in High-Collateral Liquidation Scenarios,excess collateral not returned to borrower,Satisfactory,https://github.com/code-423n4/2024-06-size/blob/8850e25fb088898e9cf86f9be1c401ad155bea86/src/libraries/actions/Liquidate.sol#L104-L112,65
validation-304,Fragmentation Fee Application Leads to Unfair Charges and Potential Fee Avoidance,fragmentation fee RESERVED_ID,Satisfactory,"https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L136, https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L146-L155",105
validation-312,Inconsistent Debt Position State and Outdated Future Value Usage in Liquidation Replacement Process Could Lead To Bad Accounting,,Unsatisfactory,,146
validation-372,Fragmentation fee and fee calculation in Sell Credit Market is Wrong leading to the payment of less or overpayment when using Credit and Cash.,inconsistent fee cash/credit amount in/out,Satisfactory,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/AccountingLibrary.sol#L185-329,568
validation-379,Unauthorized access via `delegatecall` in `setUserConfiguration` allows malicious user configuration alterations and manipulation of credit position IDs on behalf of other users,,Unsatisfactory,,410
validation-381,Arbitrary debt forgiveness and unauthorized credit reduction exploit in `compensate` logic due to insufficient validation checks,,Unsatisfactory,,478
validation-382,A borrower's debt position can be forced to be liquidated - even though the borrower was willing to repay,paused cannot repay,Satisfactory,"https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/RiskLibrary.sol#L113, https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/LoanLibrary.sol#L135-L136",72
validation-387,Incorrect credit decrement logic in compensation mechanism doesn't limit multiple debt reductions with single credit position,,Unsatisfactory,,242
validation-397,Potential Violation of FEES_01 Invariant in getCashAmountOut() Function,,Unsatisfactory,,101
validation-398,Lender can extract more collateral than owed in self-liquidation,,Unsatisfactory,,81
validation-399,Inconsistent collateral ratio check allows premature self-liquidation,,Unsatisfactory,,61
validation-400,Incorrect Credit Reduction in createCreditPosition() Leads to Protocol Insolvency,,Unsatisfactory,,76
validation-401,Violation of SOLVENCY_02 Invariant in createDebtAndCreditPositions() Function,,Unsatisfactory,,104
validation-402,Inconsistent Application of Fragmentation Fee in getCreditAmountOut() Function,,Unsatisfactory,,78
validation-446,A malicious borrower user can cause loss of funds for lender,,Unsatisfactory,,75
validation-486, Insufficient Repayment Handling in repayDebt Function,,Unsatisfactory,,43
validation-509,Chainlink flash crash price,oracle minAnswer,Satisfactory,https://github.com/code-423n4/2024-06-size/blob/main/src/oracle/PriceFeed.sol#L84-L94,47
validation-519,liquidation should have grace period for sequencer down time,oracle sequecncer,Satisfactory,https://github.com/code-423n4/2024-06-size/blob/8850e25fb088898e9cf86f9be1c401ad155bea86/src/oracle/PriceFeed.sol#L63-L77,50
validation-526,limit order might be filled with undesired apr ,feature improvement,Unsatisfactory,,47
validation-529,ETH collateral depositers will lose funds in the depegged event of weth,,Unsatisfactory,,24
validation-530,Manipulation of collateral ratios in `SelfLiquidate` via precision and timing exploits leading to unjust collateral extraction,,Unsatisfactory,,301
validation-539,The price in `PriceFeed::_getPrice` is not checked if it is between the min and max price,oracle minAnswer,Satisfactory,https://github.com/code-423n4/2024-06-size/blob/main/src/oracle/PriceFeed.sol#L84-L94,69
validation-549,The `YEAR` is constant in `Math` contract and its value is 365 days which is not always correct,,Unsatisfactory,,53
validation-553,A lender can Bypassing the validateUserIsNotBelowOpeningLimitBorrowCR  Check in BuyCreditMarket there breaking a main invariant,,Unsatisfactory,,88
validation-573,Potential DOS for buy credit market and sell credit market ,,Unsatisfactory,,155
validation-583,A Lenders address can be matched against his borrow offer in the Liquidated with Replacement Function thereby leading to loss of funds by the lender.,expected behavior,Unsatisfactory,,176
validation-597,Unresolved For-Sale Status After Credit Adjustment in createCreditPosition Function,forsale true,Satisfactory,"https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/AccountingLibrary.sol#L81, https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/AccountingLibrary.sol#L119",107
validation-605,When a user Wants to Partially repay he/she is Fragmenting a Credit Position but the current implementation allows a user to Bypassing Fragmentation Fee payment even though the user still doesn't repay any of the fragmented loans ,fragmentation fee RESERVED_ID,Satisfactory,"https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L136, https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L146-L155",125
validation-614,The input parameter `_data` in `Size::multicall` is not checked and can be malicious,,Unsatisfactory,,72
validation-618,Anyone can call `DepositTokenLibrary::withdrawUnderlyingCollateralToken` and `DepositTokenLibrary::withdrawUnderlyingTokenFromVariablePool` functions with arbitrary input parameters,,Unsatisfactory,,56
validation-619,Liquidation with Replacement Transfers All the liquidatorProfitBorrowToken to the Protocol's Fee Collector without Forwarding the Liquidator(KEEPER ROLE) and Liquidated User a share of the BorrowAtokenprofit,,Unsatisfactory,,108
validation-621,Loss of Fund Value when User Deposit in the Size Contract,,Unsatisfactory,,54
validation-624,Clash of MultiCall Calls Due to Incomplete Validation,isMulticall,Satisfactory,https://github.com/code-423n4/2024-06-size/blob/8850e25fb088898e9cf86f9be1c401ad155bea86/src/libraries/Multicall.sol#L27,64
validation-632,Credit Amount Can be Reduced Below The Minimum Credit Value,,Unsatisfactory,,50
validation-641,Inadequate liquidation logic in `multicall` facilitates strategic abuse throughout bypass of liquidation checks in batched operations,,Unsatisfactory,,384
validation-692,Loan limit check logic loophole leads to loan limit exceeding problem,,Unsatisfactory,,38
validation-700,Insufficient validation before state change,,Unsatisfactory,,52
validation-703,Improper liquidation profit calculation on `validateMinimumCollateralProfit` due to omission of protocol fee,,Unsatisfactory,,385
